RiskID,ProjectID,RiskLevel,Impact,Probability,Status
R0055,P015,Low,1,3,Closed
R0056,P015,Medium,3,3,Closed
R0057,P016,Medium,3,4,Closed
R0058,P016,Medium,3,3,Closed
R0059,P016,Medium,3,4,Mitigated
R0060,P017,Low,2,2,Closed
R0061,P017,Medium,3,4,Open
R0062,P018,Medium,4,2,Open
R0063,P018,Medium,3,3,Closed
R0064,P018,Low,4,1,Closed
R0065,P018,Medium,4,2,Mitigated
R0066,P018,Low,1,2,Open
R0067,P019,High,4,4,Closed
R0068,P019,High,5,5,Mitigated
R0069,P019,Medium,4,3,Mitigated
R0070,P020,Medium,4,2,Open
R0071,P020,Low,4,1,Mitigated
R0072,P020,Medium,3,4,Closed
R0073,P020,Low,1,1,Closed
R0074,P021,High,5,5,Open
R0075,P021,Medium,3,3,Closed
R0076,P021,High,4,4,Mitigated
R0077,P021,High,4,5,Open
R0078,P022,Medium,4,3,Mitigated
R0079,P022,High,4,4,Mitigated
R0080,P022,Low,1,2,Mitigated
R0081,P022,Low,3,2,Mitigated
R0082,P023,Medium,4,3,Open
R0083,P023,High,3,5,Closed
R0084,P024,Medium,3,3,Mitigated
R0085,P024,Low,2,3,Mitigated
R0086,P024,Low,1,4,Closed
R0087,P024,Low,1,3,Closed
R0088,P024,Medium,3,4,Mitigated
R0089,P024,Medium,2,4,Open
R0090,P025,High,5,5,Open
R0091,P025,Medium,4,3,Closed
R0092,P025,High,4,4,Open
R0093,P025,High,4,4,Open
R0094,P025,Medium,3,4,Open
R0095,P025,High,4,4,Mitigated
R0096,P026,High,5,4,Mitigated
R0097,P026,High,5,5,Closed
R0098,P026,High,5,4,Open
R0099,P026,High,3,5,Mitigated
R0100,P027,Medium,3,4,Mitigated
R0101,P027,High,4,4,Closed
R0102,P028,Low,1,4,Closed
R0103,P028,Low,2,1,Closed
R0104,P028,Low,3,2,Closed
R0105,P028,Medium,3,4,Mitigated
R0106,P028,Low,3,2,Closed
R0107,P029,Medium,4,2,Open
R0108,P029,Medium,3,4,Open
R0109,P029,Medium,4,3,Mitigated
R0110,P029,Low,4,1,Open
R0111,P030,Low,2,1,Mitigated
R0112,P030,Low,2,2,Open
R0113,P030,Low,4,1,Closed
R0114,P031,High,5,3,Mitigated
R0115,P031,Medium,4,3,Mitigated
R0116,P031,High,4,5,Open
R0117,P031,High,4,4,Mitigated
R0118,P031,High,3,5,Closed
R0119,P032,Low,1,1,Mitigated
R0120,P032,Medium,2,4,Open
R0121,P033,Medium,2,4,Mitigated
R0122,P033,Medium,4,3,Closed
R0123,P033,Low,1,2,Open
R0124,P034,Low,1,3,Open
R0125,P034,High,4,4,Open
R0126,P034,Low,3,1,Open
R0127,P034,Low,1,3,Mitigated
R0128,P035,Medium,4,3,Open
R0129,P035,Medium,3,3,Open
R0130,P035,Medium,3,3,Mitigated
R0131,P035,Low,1,2,Open
R0132,P035,Low,2,2,Closed
R0133,P035,Medium,3,3,Mitigated
R0134,P036,High,5,5,Open
R0135,P036,High,5,5,Open
R0136,P037,Medium,3,3,Mitigated
R0137,P037,High,4,4,Closed
R0138,P037,Low,4,1,Mitigated
R0139,P037,Low,1,1,Mitigated
R0140,P037,Medium,2,4,Closed
R0141,P037,High,4,4,Closed
R0142,P038,Low,3,1,Mitigated
R0143,P038,Medium,4,3,Closed
R0144,P038,Medium,3,3,Open
R0145,P038,Medium,3,4,Open
R0146,P038,Low,2,1,Closed
R0147,P039,High,5,3,Open
R0148,P039,High,5,4,Mitigated
R0149,P039,High,5,5,Open
R0150,P040,Medium,4,3,Mitigated
R0151,P040,High,4,5,Open
